수광점ID,학교,지번,종류,교사동/운동장,층,X,Y,Z,근거등급,근거,추정여부,추정항목
여의도고등학교 ①(4층) 3층-3,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),3,194107.451,547341.837,8.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 4층-3,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),4,194107.451,547341.837,11.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 1층-4,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),1,194103.473,547338.784,1.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 2층-4,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),2,194103.473,547338.784,4.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 3층-4,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),3,194103.473,547338.784,8.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 4층-4,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),4,194103.473,547338.784,11.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 1층-5,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),1,194099.495,547335.731,1.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 2층-5,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),2,194099.495,547335.731,4.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 3층-5,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),3,194099.495,547335.731,8.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 4층-5,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),4,194099.495,547335.731,11.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 1층-6,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),1,194095.517,547332.679,1.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 2층-6,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),2,194095.517,547332.679,4.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 3층-6,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),3,194095.517,547332.679,8.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 4층-6,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),4,194095.517,547332.679,11.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 1층-7,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),1,194091.539,547329.626,1.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 2층-7,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),2,194091.539,547329.626,4.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 3층-7,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),3,194091.539,547329.626,8.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 4층-7,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),4,194091.539,547329.626,11.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 1층-8,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),1,194087.56,547326.573,1.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 2층-8,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),2,194087.56,547326.573,4.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 3층-8,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),3,194087.56,547326.573,8.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 4층-8,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),4,194087.56,547326.573,11.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 1층-9,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),1,194083.783,547329.412,1.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 2층-9,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),2,194083.783,547329.412,4.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 3층-9,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),3,194083.783,547329.412,8.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 4층-9,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),4,194083.783,547329.412,11.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 1층-10,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),1,194080.725,547333.386,1.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 2층-10,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),2,194080.725,547333.386,4.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 3층-10,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),3,194080.725,547333.386,8.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 4층-10,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),4,194080.725,547333.386,11.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 1층-1,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),1,194150.192,547344.578,1.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 2층-1,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),2,194150.192,547344.578,4.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 3층-1,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),3,194150.192,547344.578,8.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 4층-1,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),4,194150.192,547344.578,11.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 1층-2,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),1,194184.8,547304.007,1.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 2층-2,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),2,194184.8,547304.007,4.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 3층-2,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),3,194184.8,547304.007,8.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 4층-2,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),4,194184.8,547304.007,11.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 1층-3,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),1,194180.83,547300.915,1.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 2층-3,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),2,194180.83,547300.915,4.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 3층-3,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),3,194180.83,547300.915,8.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 4층-3,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),4,194180.83,547300.915,11.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 1층-4,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),1,194243.152,547251.846,1.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 2층-4,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),2,194243.152,547251.846,4.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 3층-4,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),3,194243.152,547251.846,8.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 4층-4,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),4,194243.152,547251.846,11.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 1층-5,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),1,194239.182,547248.73,1.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 2층-5,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),2,194239.182,547248.73,4.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 3층-5,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),3,194239.182,547248.73,8.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 4층-5,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),4,194239.182,547248.73,11.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 1층-6,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),1,194235.213,547245.614,1.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 2층-6,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),2,194235.213,547245.614,4.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 3층-6,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),3,194235.213,547245.614,8.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 4층-6,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),4,194235.213,547245.614,11.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 1층-7,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),1,194231.243,547242.499,1.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 2층-7,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),2,194231.243,547242.499,4.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 3층-7,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),3,194231.243,547242.499,8.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 4층-7,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),4,194231.243,547242.499,11.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ②(4층) 1층-8,여의도고등학교,30-1,교사동 창면,여의도고등학교 ②(4층),1,194227.274,547239.383,1.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
